Date	ATRCT	AVBLS	ETRAV	NADDU	NTRAN	NTRBL	NTREP	TOUTV	TRFEE	Volume_BTC	Volume_Currency	Weighted_Price	JPY_Rate	GBP_Rate	CHF_Rate	EUR_Rate	CNY_Rate	CAD_Rate	SEK_Rate	Dollar_Index
2013-07-02	8.65	0.118212517659	259765	56769	43264	154	29925	858590.71967	37.0769864	5837.88	487364.76	83.48	0.0100181528930422	1.52011260994214	1.05612680280845	1.30369427847692	0.161824604783859	0.950624560336141	0.149581694790518	1
2013-07-03	7.56666666667	0.0863032095773	265226	53642	35351	198	25803	744097.361618	29.49682754	9675.75	775838.17	80.18	0.00998941122410245	1.52035758810472	1.05386515584558	1.29976474258159	0.161747912643187	0.949478261695199	0.149128863742448	1
2013-07-04	7.18333333333	0.0874781496385	325848	53347	34560	207	26097	887100.576397	21.101607	13297.53	1029790.67	77.44	0.00999990000099999	1.51938045742468	1.05218190962599	1.29726251663739	0.161777481545234	0.950308375067709	0.149271109173904	1
2013-07-05	7.35	0.0887788513959	341564	47699	36291	230	22418	964524.838527	33.41026781	16989.17	1186710.06	69.85	0.00997257541760159	1.50543915165493	1.04585116073791	1.29070896061789	0.161784024798255	0.949243927211976	0.148918775232425	1
2013-07-06	6.83333333333	0.0847712577657	251121	46957	36979	213	22481	845854.810616	31.75035904	7480.04	498682.53	66.67	NA	NA	NA	NA	NA	NA	NA	NA
2013-07-07	6.73333333333	0.0720904804169	168843	37506	28865	303	17764	670229.727541	17.31315056	5227.66	357466.66	68.38	NA	NA	NA	NA	NA	NA	NA	NA
2013-07-08	6.98333333333	0.0880019639128	189543	47647	36912	266	23029	684014.095254	31.43815723	9204.39	677798.59	73.64	0.00990864231782961	1.49321706149814	1.038525128154	1.28539330464335	0.161707894094266	0.946871064567138	0.147395014216249	1
2013-07-09	5.93333333333	0.0916995670072	317919	54846	41777	209	26041	1087300.05304	35.161138	6347.11	451207.38	71.09	0.00988972951589774	1.49017083318432	1.03444173765523	1.28539330464335	0.161750790556989	0.947400333484917	0.147150576241657	1
2013-07-10	7.6	0.100574604949	324529	55835	39340	214	26244	1218489.97585	26.25884419	9074.57	690489.41	76.09	0.00992605092064122	1.48967580185524	1.03177346381828	1.28259556298891	0.161843985634728	0.949739771302663	0.147428913463651	1
2013-07-11	7.06666666667	0.0945592770974	204001	56988	41040	236	29490	956221.102451	33.81696437	6929.11	562362.27	81.16	0.0100380744162609	1.50377975040264	1.04540617165988	1.29776589601002	0.161938861602191	0.957845231367516	0.149157558111785	1
