Date	USD_Price_BTC
12-29-14	315.52
12-30-14	311.85
12-31-14	316.9
1-1-15	317.14
1-2-15	315.12
1-3-15	296.48
1-4-15	271.15
1-5-15	272.17
1-6-15	281.69
1-7-15	292.46
1-8-15	289.85
1-9-15	288.06
1-10-15	280.22
1-11-15	272.85
1-12-15	270.41
1-13-15	239.74
1-14-15	195.03
1-15-15	207.69
1-16-15	211.62
1-17-15	200.81
1-18-15	209
1-19-15	213.47
1-20-15	211.74
1-21-15	219.96
1-22-15	233.81
1-23-15	230.49
1-24-15	241.85
1-25-15	251.47
1-26-15	283.05
1-27-15	263.08
1-28-15	246.15
1-29-15	230.81
1-30-15	231.46
1-31-15	224.93
2-1-15	220.92
2-2-15	231.41
2-3-15	236.43
2-4-15	225.9
2-5-15	219.83
2-6-15	220.82
2-7-15	228.46
2-8-15	226.81
2-9-15	219.98
2-10-15	218.73
2-11-15	221.3
2-12-15	220.73
2-13-15	233.98
2-14-15	249.72
2-15-15	247.01
2-16-15	235.98
2-17-15	240.04
2-18-15	237.34
2-19-15	239.41
2-20-15	244.25
2-21-15	245.4
2-22-15	238.67
2-23-15	237.18
2-24-15	239.13
2-25-15	237.95
2-26-15	236.4
2-27-15	253.2
2-28-15	254.35
3-1-15	255.54
3-2-15	267.85
3-3-15	278.56
3-4-15	277.89
3-5-15	271.89
3-6-15	273.7
3-7-15	275.96
3-8-15	275.55
3-9-15	286.06
3-10-15	295.89
3-11-15	294.88
3-12-15	295.34
3-13-15	289.7
3-14-15	284.22
3-15-15	285.18
3-16-15	291.58
3-17-15	288.21
3-18-15	267.12
3-19-15	258.26
3-20-15	262.34
3-21-15	259.32
3-22-15	265.12
3-23-15	267.08
3-24-15	250.84
3-25-15	243.81
3-26-15	250.31
3-27-15	247.64
3-28-15	252.16
3-29-15	244.63
3-30-15	245.31
3-31-15	245.08
4-1-15	244.35
4-2-15	249.91
4-3-15	253.39
4-4-15	252.68
4-5-15	257.54
4-6-15	257.39
4-7-15	255.24
4-8-15	247.42
4-9-15	242.45
4-10-15	235.95
4-11-15	237.11
4-12-15	236.32
4-13-15	226.92
4-14-15	220.39
4-15-15	221.73
4-16-15	227.19
4-17-15	223.49
4-18-15	222.65
4-19-15	224.52
4-20-15	224.54
4-21-15	230.42
4-22-15	235.74
4-23-15	234.92
4-24-15	232.32
4-25-15	228.44
4-26-15	219.43
4-27-15	223.98
4-28-15	224.96
4-29-15	225.23
4-30-15	234.13
5-1-15	235.18
5-2-15	234.2
5-3-15	240.16
5-4-15	239.81
5-5-15	234.87
5-6-15	231.32
5-7-15	234.58
5-8-15	243.76
5-9-15	243.95
5-10-15	241.93
5-11-15	242.28
5-12-15	242.15
5-13-15	239.73
5-14-15	236.07
5-15-15	237.2
5-16-15	236.1
5-17-15	236.74
5-18-15	233.92
5-19-15	232.79
5-20-15	233.89
5-21-15	235.4
5-22-15	237.99
5-23-15	239.71
5-24-15	241.02
5-25-15	238.32
5-26-15	237.31
5-27-15	237.27
5-28-15	236.75
5-29-15	236.26
5-30-15	232.6
5-31-15	229.94
6-1-15	224.28
6-2-15	223.7
6-3-15	224.93
6-4-15	224.53
6-5-15	224.72
6-6-15	225.14
6-7-15	224.4
6-8-15	227.08
6-9-15	230.41
6-10-15	228.84
6-11-15	229.76
6-12-15	230.29
6-13-15	231.1
6-14-15	233.94
6-15-15	236.28
6-16-15	245.55
6-17-15	252.36
6-18-15	249.11
6-19-15	247.57
6-20-15	242.82
6-21-15	243.19
6-22-15	245.93
6-23-15	244.22
6-24-15	241.38
6-25-15	241.6
6-26-15	242.1
6-27-15	247.94
6-28-15	249.78
6-29-15	253.57
6-30-15	263.11
7-1-15	258.1
7-2-15	256.38
7-3-15	254.48
7-4-15	257.86
7-5-15	268.45
7-6-15	273.64
7-7-15	266.85
7-8-15	269.34
7-9-15	270.25
7-10-15	285.02
7-11-15	292.29
7-12-15	305.63
7-13-15	291.85
7-14-15	291.27
7-15-15	289.51
7-16-15	282.32
7-17-15	276.95
7-18-15	279.5
7-19-15	276.65
7-20-15	277.23
7-21-15	279.27
7-22-15	276.51
7-23-15	277.18
7-24-15	284.49
7-25-15	289.28
7-26-15	292.07
7-27-15	293.2
7-28-15	295.79
7-29-15	291.1
7-30-15	287.32
7-31-15	284.5
8-1-15	279.63
8-2-15	279.49
8-3-15	284.15
8-4-15	284.41
8-5-15	283.38
8-6-15	280.04
8-7-15	278.8
8-8-15	269.77
8-9-15	264.17
8-10-15	264.99
8-11-15	267.79
8-12-15	269.35
8-13-15	265.36
8-14-15	265.86
8-15-15	264.39
8-16-15	259.65
8-17-15	259.27
8-18-15	230.94
8-19-15	226.25
8-20-15	233.78
8-21-15	233.23
8-22-15	228.34
8-23-15	229.58
8-24-15	217
8-25-15	213.02
8-26-15	227.05
8-27-15	226.59
8-28-15	229.95
8-29-15	230.04
8-30-15	229.21
8-31-15	230.41
9-1-15	228.7
9-2-15	229.16
9-3-15	227.67
9-4-15	230.04
9-5-15	234.56
9-6-15	241.47
9-7-15	241.15
9-8-15	244.55
9-9-15	240.84
9-10-15	239.83
9-11-15	240.9
9-12-15	237.44
9-13-15	232.78
9-14-15	231.25
9-15-15	231.26
9-16-15	229.27
9-17-15	232.27
9-18-15	234.23
9-19-15	232.69
9-20-15	232.43
9-21-15	228.46
9-22-15	228.92
9-23-15	231.53
9-24-15	234.25
9-25-15	236.42
9-26-15	234.92
9-27-15	233.82
9-28-15	238.66
9-29-15	238.74
9-30-15	237.01
10-1-15	238.21
10-2-15	238.48
10-3-15	239.81
10-4-15	239.93
10-5-15	239.92
10-6-15	245.91
10-7-15	245.52
10-8-15	244.08
10-9-15	244.29
10-10-15	245.45
10-11-15	246.79
10-12-15	246.91
10-13-15	249.49
10-14-15	252.94
10-15-15	255.39
10-16-15	262.31
10-17-15	269.79
10-18-15	267.18
10-19-15	264.97
10-20-15	269.19
10-21-15	267.94
10-22-15	274.62
10-23-15	278.42
10-24-15	281.68
10-25-15	289.18
10-26-15	284.75
10-27-15	293.59
10-28-15	301.26
10-29-15	312.09
10-30-15	325.66
10-31-15	320.3
11-1-15	322.72
11-2-15	349.81
11-3-15	391.62
11-4-15	445.56
11-5-15	402.05
11-6-15	372.43
11-7-15	384.16
11-8-15	379.46
11-9-15	376.56
11-10-15	353.96
11-11-15	315.75
11-12-15	330.9
11-13-15	334.95
11-14-15	334.27
11-15-15	323.94
11-16-15	326.35
11-17-15	336.28
11-18-15	334.23
11-19-15	329.36
11-20-15	318.67
11-21-15	325.64
11-22-15	323.63
11-23-15	324.04
11-24-15	320.6
11-25-15	325.79
11-26-15	348.58
11-27-15	358.63
11-28-15	355.75
11-29-15	366.28
11-30-15	377.89
12-1-15	363.94
12-2-15	354.92
12-3-15	362.65
12-4-15	359.37
12-5-15	378.72
12-6-15	396.24
12-7-15	395.36
12-8-15	404.85
12-9-15	417.21
12-10-15	416.09
12-11-15	439.96
12-12-15	435.88
12-13-15	434.27
12-14-15	442.68
